Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score,Rating,cluster
Just Dance 4,Wii,2012.0,Misc,6.76,74.0,7.3,E10+,1
Gears of War 2,X360,2008.0,Shooter,6.75,93.0,7.7,M,1
Uncharted 3: Drake's Deception,PS3,2011.0,Action,6.74,92.0,8.3,T,3
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,6.68,94.0,8.4,M,1
Uncharted 2: Among Thieves,PS3,2009.0,Action,6.66,96.0,8.8,T,3
Big Brain Academy,DS,2005.0,Misc,6.62,74.0,7.4,E,0
Red Dead Redemption,PS3,2010.0,Action,6.49,95.0,8.8,M,3
FIFA 14,PS3,2013.0,Sports,6.47,86.0,4.3,E,1
Assassin's Creed III,PS3,2012.0,Action,6.45,85.0,6.9,M,3
Donkey Kong Country Returns,Wii,2010.0,Platform,6.44,87.0,8.6,E,1
Halo: Combat Evolved,XB,2001.0,Shooter,6.43,97.0,8.6,M,1
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,6.41,92.0,6.4,M,1
Pokémon Emerald Version,GBA,2004.0,Role-Playing,6.41,76.0,9.0,E,0
Kingdom Hearts,PS2,2002.0,Role-Playing,6.4,85.0,8.8,E,0
Halo 3: ODST,X360,2009.0,Shooter,6.34,83.0,7.1,M,1
Red Dead Redemption,X360,2010.0,Action,6.32,95.0,9.0,M,3
Super Mario Sunshine,GC,2002.0,Platform,6.31,92.0,8.6,E,0
World of Warcraft,PC,2004.0,Role-Playing,6.29,93.0,7.3,T,0
Driver,PS,1999.0,Action,6.27,87.0,8.1,T,0
Gears of War 3,X360,2011.0,Shooter,6.21,91.0,7.8,M,1
Kinect Sports,X360,2010.0,Sports,6.19,73.0,7.4,E10+,1
Gears of War,X360,2006.0,Shooter,6.09,94.0,8.3,M,1
FIFA 15,PS4,2014.0,Sports,6.08,82.0,5.7,E,1
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,6.05,96.0,8.7,M,0
Metal Gear Solid,PS,1998.0,Action,6.03,94.0,9.4,M,0
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,5.99,94.0,8.7,M,3
Final Fantasy XII,PS2,2006.0,Role-Playing,5.95,92.0,7.6,T,0
The Last of Us,PS3,2013.0,Action,5.87,95.0,9.1,M,3
LittleBigPlanet,PS3,2008.0,Platform,5.82,95.0,6.8,E,1
Resident Evil 2,PS,1998.0,Action,5.82,89.0,9.2,M,0
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,5.78,87.0,8.8,E10+,0
Tekken 2,PS,1996.0,Fighting,5.74,89.0,8.9,T,0
Destiny,PS4,2014.0,Shooter,5.64,76.0,6.1,T,1
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,5.64,80.0,8.9,E10+,3
Cooking Mama,DS,2006.0,Simulation,5.63,67.0,7.2,E,0
Assassin's Creed II,PS3,2009.0,Action,5.55,91.0,8.6,M,3
Assassin's Creed,X360,2007.0,Adventure,5.54,81.0,7.7,M,3
Forza Motorsport 3,X360,2009.0,Racing,5.49,92.0,8.0,E,1
Super Mario Advance,GBA,2001.0,Platform,5.49,84.0,7.8,E,0
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,5.48,81.0,8.7,T,1
Batman: Arkham City,PS3,2011.0,Action,5.48,96.0,8.6,T,3
Grand Theft Auto V,XOne,2014.0,Action,5.48,97.0,7.9,M,3
Mario Kart: Super Circuit,GBA,2001.0,Racing,5.47,93.0,8.3,E,0
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,5.42,66.0,7.1,E,0
Call of Duty: World at War,PS3,2008.0,Shooter,5.39,85.0,7.6,M,1
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,5.38,93.0,7.9,T,1
Final Fantasy XIII,PS3,2009.0,Role-Playing,5.33,83.0,7.3,T,1
Final Fantasy IX,PS,2000.0,Role-Playing,5.3,94.0,8.9,T,0
Assassin's Creed III,X360,2012.0,Action,5.29,84.0,6.7,M,3
Final Fantasy X-2,PS2,2003.0,Role-Playing,5.29,85.0,6.6,T,0
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,5.27,81.0,5.4,M,1
Assassin's Creed II,X360,2009.0,Action,5.26,90.0,8.8,M,3
New Super Mario Bros. U,WiiU,2012.0,Platform,5.22,84.0,8.1,E,1
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,5.21,89.0,8.8,T,0
Professor Layton and the Curious Village,DS,2007.0,Puzzle,5.19,85.0,8.6,E,0
FIFA Soccer 13,X360,2012.0,Action,5.16,90.0,6.1,E,1
Diablo III,PC,2012.0,Role-Playing,5.14,88.0,4.0,M,1
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,5.13,68.0,7.6,T,0
Guitar Hero II,PS2,2006.0,Misc,5.12,92.0,8.5,T,3
Fable III,X360,2010.0,Role-Playing,5.1,80.0,6.5,M,1
Resident Evil 5,PS3,2009.0,Action,5.09,84.0,7.5,M,3
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,5.08,90.0,8.0,E,0
FIFA Soccer 11,PS3,2010.0,Sports,5.07,89.0,8.0,E,1
Resident Evil,PS,1996.0,Action,5.05,91.0,9.0,M,0
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,5.03,86.0,8.0,M,3
Tony Hawk's Pro Skater,PS,1999.0,Sports,5.02,92.0,9.2,T,0
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,4.98,82.0,8.2,T,3
Link's Crossbow Training,Wii,2007.0,Shooter,4.98,68.0,7.1,T,1
Fallout 3,X360,2008.0,Role-Playing,4.93,93.0,8.5,M,1
Uncharted: Drake's Fortune,PS3,2007.0,Action,4.92,88.0,8.1,T,3
Madden NFL 06,PS2,2005.0,Sports,4.91,88.0,8.0,E,0
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,4.84,93.0,8.2,T,0
Assassin's Creed,PS3,2007.0,Adventure,4.82,81.0,7.3,M,3
God of War III,PS3,2010.0,Action,4.8,92.0,8.7,M,3
Crash Team Racing,PS,1999.0,Racing,4.79,88.0,9.0,E,0
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,4.76,80.0,5.4,E,0
Driver 2,PS,2000.0,Action,4.73,62.0,7.7,T,3
Batman: Arkham City,X360,2011.0,Action,4.73,94.0,8.7,T,3
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,4.68,98.0,7.7,T,0
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,4.67,82.0,8.2,T,3
Tomb Raider,PS,1996.0,Action,4.63,91.0,8.6,T,0
Animal Crossing: City Folk,Wii,2008.0,Simulation,4.62,73.0,7.6,E,1
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,4.62,86.0,8.1,T,3
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,4.6,96.0,8.9,E,0
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,4.6,86.0,8.4,T,3
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,4.59,86.0,8.4,E,0
Forza Motorsport 4,X360,2011.0,Racing,4.57,91.0,8.2,E,1
Madden NFL 2005,PS2,2004.0,Sports,4.53,91.0,7.9,E,0
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,4.53,85.0,7.9,T,3
Madden NFL 07,PS2,2006.0,Sports,4.49,84.0,8.2,E,0
Halo 5: Guardians,XOne,2015.0,Shooter,4.48,84.0,6.4,T,1
Spider-Man: The Movie,PS2,2002.0,Action,4.48,76.0,7.9,E,0
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,4.46,77.0,3.4,M,1
God of War,PS2,2005.0,Action,4.45,94.0,8.9,M,3
Splatoon,WiiU,2015.0,Shooter,4.43,81.0,8.5,E10+,1
Nintendo Land,WiiU,2012.0,Misc,4.42,77.0,7.9,E10+,1
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,4.41,97.0,7.5,T,0
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,4.39,86.0,8.9,E,0
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,4.38,94.0,8.7,M,1
Need for Speed: Most Wanted,PS2,2005.0,Racing,4.37,82.0,9.1,T,0
