Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score,Rating,cluster
That's So Raven,GBA,2004.0,Adventure,0.76,39.0,7.6,E,2
DJ Hero,Wii,2009.0,Misc,0.76,87.0,7.6,T,3
Portal 2,PC,2011.0,Shooter,0.76,95.0,8.8,E10+,0
Duke Nukem Forever,PS3,2011.0,Shooter,0.76,51.0,4.9,M,2
Star Wars: The Force Unleashed II,Wii,2010.0,Action,0.76,71.0,7.8,T,3
Harry Potter and the Half-Blood Prince,Wii,2009.0,Action,0.75,60.0,6.0,E10+,2
Wall-E,PS2,2008.0,Platform,0.75,67.0,8.4,E,0
Professor Layton and the Azran Legacy,3DS,2013.0,Puzzle,0.75,81.0,7.9,E10+,0
Mega Man X5,PS,2000.0,Platform,0.75,76.0,8.9,E,0
Titanfall 2,PS4,2016.0,Shooter,0.75,89.0,8.4,M,1
Genji: Days of the Blade,PS3,2006.0,Action,0.75,55.0,5.8,T,2
Metal Gear Solid V: The Phantom Pain,XOne,2015.0,Action,0.75,95.0,7.3,M,3
Rockstar Games presents Table Tennis,X360,2006.0,Sports,0.75,81.0,7.8,E,1
Drawn to Life: The Next Chapter,Wii,2009.0,Puzzle,0.75,58.0,6.0,E,2
PokePark 2: Wonders Beyond,Wii,2011.0,Action,0.75,60.0,7.0,E,3
DJ Hero 2,PS3,2010.0,Misc,0.75,86.0,7.8,T,3
WWE SmackDown vs. Raw 2009,PSP,2008.0,Fighting,0.75,72.0,6.0,T,3
LEGO Batman 2: DC Super Heroes,3DS,2012.0,Action,0.75,72.0,5.2,E10+,2
SoulCalibur V,PS3,2012.0,Fighting,0.75,81.0,6.7,T,3
Shark Tale,PS2,2004.0,Action,0.75,69.0,6.5,E,0
Zone of the Enders,PS2,2001.0,Shooter,0.75,78.0,7.4,M,0
Pro Evolution Soccer 2015,PS4,2014.0,Sports,0.75,82.0,7.2,E,1
Tony Hawk's Underground 2,XB,2004.0,Sports,0.75,83.0,7.8,T,1
Madden NFL 06,PSP,2005.0,Sports,0.75,75.0,7.9,E,1
Raving Rabbids: Travel in Time,Wii,2010.0,Adventure,0.75,62.0,7.6,E10+,3
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001.0,Fighting,0.75,81.0,7.9,T,3
MVP 06 NCAA Baseball,PS2,2006.0,Sports,0.75,76.0,9.0,E,0
Turok,X360,2008.0,Action,0.75,69.0,7.1,M,3
Coded Arms,PSP,2005.0,Shooter,0.75,59.0,6.5,T,2
Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007.0,Role-Playing,0.75,80.0,6.9,E10+,0
The Lord of the Rings: Conquest,PS3,2009.0,Action,0.74,54.0,7.1,T,3
Band Hero,PS3,2009.0,Misc,0.74,76.0,5.7,E10+,3
Burnout,PS2,2001.0,Racing,0.74,79.0,7.7,E,0
Spectrobes,DS,2007.0,Role-Playing,0.74,63.0,7.9,E,0
The Godfather II,PS3,2009.0,Action,0.74,67.0,7.2,M,3
Mortal Kombat: Unchained,PSP,2006.0,Fighting,0.74,70.0,8.8,M,3
Need for Speed: Shift,PSP,2009.0,Racing,0.74,69.0,6.5,E,1
Dark Souls II,X360,2014.0,Role-Playing,0.74,91.0,7.9,T,1
Assassin's Creed: Revelations,PC,2011.0,Action,0.74,80.0,7.4,M,3
[Prototype 2],PS3,2012.0,Action,0.74,79.0,6.8,M,3
Midnight Club 3: DUB Edition,XB,2005.0,Racing,0.74,84.0,7.4,E10+,1
Resident Evil: Revelations,PS3,2013.0,Action,0.74,74.0,7.2,M,3
Tom Clancy's Rainbow Six: Vegas,PSP,2007.0,Shooter,0.74,60.0,7.1,T,1
Red Faction: Guerrilla,PS3,2009.0,Shooter,0.74,85.0,8.1,M,1
Ace Combat: Assault Horizon,PS3,2011.0,Action,0.74,77.0,6.7,T,3
Unreal Championship,XB,2002.0,Shooter,0.74,83.0,8.2,M,1
Crysis 2,PC,2011.0,Action,0.74,86.0,6.8,M,3
Tales of Vesperia,X360,2008.0,Role-Playing,0.74,79.0,8.2,T,1
MLB 13: The Show,PS3,2013.0,Sports,0.74,87.0,7.8,E,1
LEGO Marvel Super Heroes,WiiU,2013.0,Action,0.74,82.0,8.0,E10+,3
Namco Museum Remix,Wii,2007.0,Misc,0.74,49.0,6.3,E,2
Sword of Mana,GBA,2003.0,Role-Playing,0.74,72.0,8.3,E,0
Marvel: Ultimate Alliance 2,PS3,2009.0,Role-Playing,0.73,74.0,7.3,T,3
Dragon Age: Inquisition,PC,2014.0,Role-Playing,0.73,85.0,5.9,M,1
Resonance of Fate,PS3,2010.0,Role-Playing,0.73,72.0,8.0,T,3
Pirates of the Caribbean: At World's End,PS3,2007.0,Action,0.73,55.0,6.9,T,3
Tiger Woods PGA Tour 08,PS3,2007.0,Sports,0.73,79.0,6.6,E,1
Classic NES Series: Donkey Kong,GBA,2004.0,Platform,0.73,55.0,4.8,E,2
Harvest Moon: Animal Parade,Wii,2008.0,Simulation,0.73,76.0,8.9,E,1
WWE SmackDown vs. Raw 2010,Wii,2009.0,Fighting,0.73,78.0,7.7,T,3
Style Savvy: Trendsetters,3DS,2012.0,Simulation,0.73,76.0,8.0,E,0
Final Fantasy XIII-2,X360,2011.0,Role-Playing,0.73,79.0,6.3,T,1
Oddworld: Munch's Oddysee,XB,2001.0,Platform,0.73,80.0,8.7,T,3
Persona 4: Arena,PS3,2012.0,Fighting,0.73,86.0,7.7,T,3
Brink,PS3,2011.0,Shooter,0.73,72.0,5.8,T,1
NHL 11,X360,2010.0,Sports,0.73,88.0,7.7,E10+,1
NCAA Football 07,X360,2006.0,Sports,0.73,79.0,6.9,E,1
Full Spectrum Warrior,XB,2004.0,Strategy,0.73,84.0,8.7,M,1
LEGO Marvel's Avengers,PS4,2016.0,Action,0.73,71.0,7.0,E10+,3
Katamari Damacy,PS2,2004.0,Puzzle,0.73,86.0,9.0,E,0
Just Dance 2015,WiiU,2014.0,Misc,0.73,75.0,6.6,E10+,1
LEGO Dimensions,PS4,2015.0,Action,0.73,80.0,7.1,E10+,3
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012.0,Fighting,0.73,74.0,7.1,T,3
Shaun Palmer's Pro Snowboarder,PS2,2001.0,Sports,0.73,64.0,8.7,E,0
James Bond 007: Agent Under Fire,GC,2002.0,Shooter,0.72,74.0,6.8,T,0
Harvest Moon DS: Island of Happiness,DS,2007.0,Simulation,0.72,65.0,7.0,E,0
Star Wars Episode III: Revenge of the Sith,GBA,2005.0,Action,0.72,73.0,7.5,E10+,0
Ultimate Spider-Man,PS2,2005.0,Action,0.72,74.0,7.9,T,3
Monopoly Streets,Wii,2010.0,Misc,0.72,65.0,5.2,E,2
Total War: Rome II,PC,2013.0,Strategy,0.72,76.0,4.2,T,2
NBA Live 08,PS2,2007.0,Sports,0.72,68.0,6.6,E,1
Star Ocean: The Last Hope International,PS3,2010.0,Role-Playing,0.72,74.0,6.7,T,3
Dead to Rights,XB,2002.0,Shooter,0.72,73.0,8.9,M,1
Indiana Jones and the Staff of Kings,Wii,2009.0,Action,0.72,55.0,7.0,T,3
Tiger Woods PGA Tour 07,PS2,2006.0,Sports,0.72,79.0,6.0,E,1
Major League Baseball 2K7,X360,2007.0,Sports,0.72,79.0,7.1,E,1
Persona Q: Shadow of the Labyrinth,3DS,2014.0,Role-Playing,0.72,83.0,8.1,M,0
MLB 14: The Show,PS4,2014.0,Sports,0.72,83.0,7.7,E,1
X-Men: Mutant Academy 2,PS,2001.0,Fighting,0.72,72.0,8.4,T,0
Kirby: Canvas Curse,DS,2005.0,Platform,0.72,86.0,8.2,E,0
Madden NFL 10,Wii,2009.0,Sports,0.72,77.0,7.2,E,1
MLB 09: The Show,PS3,2009.0,Sports,0.72,90.0,8.1,E,1
Borderlands: The Pre-Sequel,X360,2014.0,Shooter,0.72,74.0,6.4,M,1
Super Monkey Ball Jr.,GBA,2002.0,Puzzle,0.72,82.0,8.6,E,0
The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,0.72,93.0,9.3,M,1
F1 2011,X360,2011.0,Racing,0.72,84.0,7.1,E,1
Mobile Suit Gundam: Encounters in Space,PS2,2003.0,Simulation,0.72,66.0,8.5,T,0
MLB 10: The Show,PS3,2010.0,Sports,0.72,91.0,8.3,E,1
MX vs. ATV Reflex,X360,2009.0,Racing,0.72,75.0,6.6,E,1
Blur,PS3,2010.0,Racing,0.72,81.0,8.2,E10+,1
Battlefield: Bad Company 2,PC,2010.0,Shooter,0.72,87.0,8.3,M,0
DiRT 3,X360,2011.0,Racing,0.72,87.0,7.1,T,1
The Lord of the Rings: The Two Towers,XB,2002.0,Action,0.71,79.0,8.1,T,3
Madden NFL 2003,XB,2002.0,Sports,0.71,92.0,8.3,E,1
Skate,X360,2007.0,Sports,0.71,86.0,8.4,T,1
XCOM: Enemy Unknown,PC,2012.0,Strategy,0.71,89.0,8.2,M,1
Ben 10: Protector of Earth,PSP,2007.0,Action,0.71,60.0,7.2,E10+,3
Virtua Fighter 4: Evolution,PS2,2003.0,Fighting,0.71,93.0,9.0,T,3
Crysis,PC,2007.0,Shooter,0.71,91.0,8.0,M,0
Resident Evil: Survivor,PS,2000.0,Action,0.71,39.0,7.0,M,2
The Sims 2: Castaway,DS,2007.0,Simulation,0.71,66.0,4.0,E,2
Godzilla: Destroy All Monsters Melee,GC,2002.0,Fighting,0.71,73.0,7.8,T,0
Silent Hill 3,PS2,2003.0,Action,0.71,85.0,8.8,M,3
Spyro: Enter the Dragonfly,GC,2002.0,Platform,0.71,48.0,5.1,E,2
Power Rangers: Dino Thunder,PS2,2004.0,Action,0.71,49.0,6.2,E,2
Madden NFL 08,PSP,2007.0,Sports,0.71,75.0,6.8,E,1
Madden NFL 09,PSP,2008.0,Sports,0.71,68.0,6.5,E,1
NBA Live 09,X360,2008.0,Sports,0.71,77.0,7.4,E,1
Dragon Ball: Xenoverse 2,PS4,2016.0,Action,0.71,73.0,7.8,T,3
Dynasty Warriors 6,PS3,2007.0,Action,0.71,59.0,7.3,T,3
NCAA Football 09,X360,2008.0,Sports,0.71,83.0,7.7,E,1
Doom 3: Resurrection of Evil,XB,2005.0,Shooter,0.71,77.0,7.9,M,1
SSX,X360,2012.0,Sports,0.7,82.0,6.4,E,1
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007.0,Role-Playing,0.7,65.0,5.9,T,1
Two Worlds,X360,2007.0,Role-Playing,0.7,50.0,5.5,M,2
Tony Hawk's Underground,GC,2003.0,Sports,0.7,89.0,8.5,T,0
Spider-Man 2,PSP,2005.0,Action,0.7,67.0,6.9,T,3
NCAA Football 08,X360,2007.0,Sports,0.7,81.0,7.8,E,1
Skylanders: Trap Team,WiiU,2014.0,Action,0.7,86.0,7.1,E10+,3
Star Wars: Obi-Wan,XB,2001.0,Action,0.7,58.0,5.9,T,3
Ace Attorney Investigations: Miles Edgeworth,DS,2009.0,Adventure,0.7,78.0,8.4,T,3
Kill.Switch,PS2,2003.0,Shooter,0.7,73.0,8.3,T,0
Catherine,PS3,2011.0,Adventure,0.7,79.0,8.1,M,3
SplashDown,PS2,2001.0,Racing,0.7,84.0,8.2,E,0
Jade Empire,XB,2005.0,Role-Playing,0.7,89.0,8.6,M,1
Infinite Undiscovery,X360,2008.0,Role-Playing,0.7,68.0,7.0,T,1
Lego Star Wars: The Force Awakens,PS4,2016.0,Action,0.7,78.0,7.5,E10+,3
NHL 12,X360,2011.0,Sports,0.7,86.0,7.0,E10+,1
Advance Wars,GBA,2001.0,Strategy,0.7,92.0,9.0,E,0
NASCAR 2001,PS2,2000.0,Racing,0.7,66.0,6.6,E,0
Mafia,PS2,2004.0,Action,0.7,65.0,7.6,M,3
Ape Escape: On the Loose,PSP,2005.0,Platform,0.7,66.0,6.4,E,1
Mobile Suit Gundam: Journey to Jaburo,PS2,2000.0,Simulation,0.7,58.0,8.1,T,0
MLB 08: The Show,PS3,2008.0,Sports,0.7,85.0,8.7,E,1
TimeSplitters 2,PS2,2002.0,Shooter,0.7,90.0,8.8,T,0
Omerta: City of Gangsters,X360,2011.0,Simulation,0.7,43.0,3.3,T,2
Driver: San Francisco,X360,2011.0,Racing,0.7,80.0,7.6,T,1
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004.0,Adventure,0.7,73.0,7.5,E,0
James Bond 007: Blood Stone,PS3,2010.0,Shooter,0.7,65.0,7.4,T,1
Metal Gear Solid: Portable Ops Plus,PSP,2007.0,Action,0.69,65.0,7.5,T,3
LEGO Rock Band,Wii,2009.0,Misc,0.69,70.0,6.8,E10+,1
Halo 2 Multiplayer Map Pack,XB,2005.0,Shooter,0.69,89.0,7.4,M,1
Mortal Kombat: Shaolin Monks,PS2,2005.0,Action,0.69,77.0,8.6,M,3
MotionSports,X360,2010.0,Sports,0.69,40.0,4.4,T,2
MX vs. ATV Unleashed: On the Edge,PSP,2006.0,Racing,0.69,68.0,8.1,E,1
Mario Pinball Land,GBA,2004.0,Misc,0.69,62.0,4.9,E,2
Dragon Ball Z: Budokai,GC,2003.0,Fighting,0.69,65.0,6.3,T,3
Plants vs. Zombies: Garden Warfare,XOne,2014.0,Shooter,0.69,76.0,7.4,E10+,1
Need for Speed Rivals,XOne,2013.0,Racing,0.69,75.0,5.8,E10+,1
The Sims 2: Apartment Pets,DS,2008.0,Simulation,0.69,50.0,3.3,E,2
Harry Potter and the Chamber of Secrets,GC,2002.0,Action,0.69,77.0,8.3,E,0
Prince of Persia: The Forgotten Sands,PS3,2010.0,Action,0.69,75.0,7.6,T,3
The Lord of the Rings: The Return of the King,GC,2003.0,Action,0.69,84.0,8.5,T,3
The Sims: Medieval,PC,2011.0,Simulation,0.69,77.0,6.1,T,1
Top Spin 4,PS3,2011.0,Sports,0.69,82.0,7.7,E,1
Baldur's Gate: Dark Alliance II,PS2,2004.0,Role-Playing,0.68,78.0,8.7,T,0
Shark Tale,GBA,2004.0,Action,0.68,63.0,9.0,E,0
IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,0.68,81.0,7.3,T,1
NBA Street Vol. 2,XB,2003.0,Sports,0.68,89.0,8.8,E,1
MX vs. ATV Untamed,X360,2007.0,Racing,0.68,70.0,7.1,E,1
The Last Remnant,X360,2008.0,Role-Playing,0.68,66.0,6.9,M,1
NCAA Football 2005,XB,2004.0,Sports,0.68,89.0,8.0,E,1
The Sly Collection,PS3,2010.0,Platform,0.68,85.0,8.8,E10+,1
Naruto: Clash of Ninja,GC,2003.0,Fighting,0.68,72.0,8.1,T,0
Sniper Elite 3,PS4,2014.0,Shooter,0.68,67.0,7.1,M,1
Prince of Persia: The Two Thrones,PS2,2005.0,Action,0.68,85.0,8.5,M,3
Hot Shots Golf: Open Tee 2,PSP,2007.0,Sports,0.68,82.0,8.6,E,1
Suikoden II,PS,1998.0,Role-Playing,0.68,82.0,8.4,T,0
Iron Man,PS3,2008.0,Action,0.68,42.0,6.2,T,2
FIFA Soccer 06,XB,2005.0,Sports,0.68,80.0,7.5,E,1
Fight Night 2004,XB,2004.0,Fighting,0.68,85.0,8.7,T,3
.hack//Mutation Part 2,PS2,2002.0,Role-Playing,0.68,76.0,8.9,T,0
Wolfenstein: The New Order,XOne,2014.0,Shooter,0.68,79.0,7.8,M,1
Cars: Mater-National Championship,DS,2007.0,Racing,0.68,69.0,6.8,E,0
Kirby's Dream Collection: Special Edition,Wii,2012.0,Action,0.67,82.0,8.8,E10+,3
Return to Castle Wolfenstein: Tides of War,XB,2003.0,Shooter,0.67,84.0,8.8,M,1
RIFT,PC,2011.0,Role-Playing,0.67,84.0,7.3,T,3
Spider-Man 3,PS3,2007.0,Platform,0.67,60.0,7.0,T,3
Mass Effect,PC,2008.0,Role-Playing,0.67,89.0,8.6,M,0
The Evil Within,XOne,2014.0,Action,0.67,79.0,7.3,M,3
Armored Core 3,PS2,2002.0,Simulation,0.67,74.0,9.0,T,0
Star Wars: Republic Commando,XB,2005.0,Shooter,0.67,78.0,8.9,T,1
The LEGO Movie Videogame,PS4,2014.0,Action,0.67,71.0,7.1,E10+,3
Turok,PS3,2008.0,Action,0.67,67.0,6.0,M,3
Terraria,X360,2013.0,Action,0.67,81.0,7.2,T,3
Red Steel,Wii,2006.0,Shooter,0.67,63.0,6.8,T,1
Unreal Tournament III,PS3,2007.0,Shooter,0.67,86.0,7.7,M,0
Fossil Fighters: Champions,DS,2010.0,Role-Playing,0.67,68.0,7.1,E,0
The Sims 3,DS,2010.0,Simulation,0.67,73.0,6.4,E,0
NFL Street,XB,2004.0,Sports,0.66,81.0,8.8,E,1
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007.0,Role-Playing,0.66,77.0,7.2,E10+,0
Bakugan: Battle Brawlers,Wii,2009.0,Action,0.66,62.0,7.2,E,3
Blazing Angels: Squadrons of WWII,PS3,2006.0,Simulation,0.66,67.0,6.9,T,0
WWE SmackDown vs. RAW 2007,PSP,2006.0,Fighting,0.66,78.0,8.1,T,3
F1 2015,PS4,2015.0,Racing,0.66,65.0,6.3,E,1
Tony Hawk's Proving Ground,PS2,2007.0,Sports,0.66,65.0,6.6,T,0
The Darkness,PS3,2007.0,Shooter,0.66,80.0,7.7,M,0
MLB 2004,PS2,2003.0,Sports,0.66,61.0,7.9,E,0
Darkstone,PS,2001.0,Role-Playing,0.66,58.0,8.3,T,0
NCAA March Madness 2003,PS2,2002.0,Sports,0.66,74.0,8.0,E,0
Thrillville,PS2,2006.0,Strategy,0.66,69.0,2.9,E10+,2
Castlevania: Lords of Shadow,X360,2010.0,Action,0.66,83.0,7.8,M,3
NHL 10,X360,2009.0,Sports,0.66,88.0,8.4,E10+,1
Street Fighter Anniversary Collection,PS2,2004.0,Fighting,0.66,78.0,8.7,T,3
NHL 13,X360,2012.0,Sports,0.66,83.0,6.6,E10+,1
Napoleon: Total War,PC,2010.0,Strategy,0.66,81.0,7.9,T,0
Rayman Legends,WiiU,2013.0,Platform,0.66,92.0,8.7,E10+,1
The Sims: Bustin' Out,GC,2003.0,Simulation,0.66,81.0,9.0,T,0
BioShock Infinite,PC,2013.0,Shooter,0.66,94.0,8.5,M,1
Ratatouille,PSP,2007.0,Action,0.66,64.0,7.1,E,3
Lollipop Chainsaw,PS3,2012.0,Action,0.66,67.0,7.1,M,3
Tom Clancy's EndWar,PS3,2008.0,Strategy,0.66,76.0,6.6,T,1
Shrek: Hassle at the Castle,GBA,2002.0,Action,0.66,71.0,7.4,E,0
Suikoden IV,PS2,2004.0,Role-Playing,0.66,63.0,7.3,T,0
Gods Eater Burst,PSP,2010.0,Action,0.66,71.0,7.9,T,3
Fist of the North Star: Ken's Rage,PS3,2010.0,Action,0.66,60.0,6.9,M,3
One Piece: Pirate Warriors 2,PS3,2013.0,Action,0.66,71.0,7.8,T,3
Brothers In Arms: Road to Hill 30,XB,2005.0,Shooter,0.66,88.0,8.0,M,1
LEGO Jurassic World,XOne,2015.0,Action,0.65,70.0,6.7,E10+,3
Kung Fu Panda,PS2,2008.0,Action,0.65,73.0,8.6,E10+,3
Freedom Wars,PSV,2014.0,Role-Playing,0.65,73.0,8.3,T,1
Shaun White Snowboarding,PS3,2008.0,Sports,0.65,63.0,6.3,T,1
Radiata Stories,PS2,2005.0,Role-Playing,0.65,74.0,9.0,T,0
F-Zero GX,GC,2003.0,Racing,0.65,89.0,8.5,T,0
Disney's Chicken Little,PS2,2005.0,Platform,0.65,60.0,8.9,E10+,0
Scene It? Box Office Smash,X360,2008.0,Misc,0.65,76.0,7.4,T,3
Yoshi Topsy-Turvy,GBA,2004.0,Platform,0.65,60.0,6.6,E,0
Monster Jam: Maximum Destruction,PS2,2002.0,Racing,0.65,47.0,6.0,T,2
Tiger Woods PGA Tour 09,PS3,2008.0,Sports,0.65,82.0,7.2,E,1
Mortal Kombat,PSV,2012.0,Fighting,0.65,85.0,7.8,M,3
Tiger Woods PGA Tour 09,X360,2008.0,Sports,0.65,84.0,7.8,E,1
Advance Wars 2: Black Hole Rising,GBA,2003.0,Strategy,0.65,89.0,9.4,E,0
Wario: Master of Disguise,DS,2007.0,Platform,0.65,60.0,7.4,E10+,0
The Last Story,Wii,2011.0,Role-Playing,0.65,80.0,8.4,T,1
Drakengard,PS2,2003.0,Role-Playing,0.65,63.0,9.1,M,0
Champions: Return to Arms,PS2,2005.0,Role-Playing,0.65,77.0,8.8,T,0
Harry Potter and the Goblet of Fire,PS2,2005.0,Action,0.65,68.0,6.7,E10+,3
Tiger Woods PGA Tour 10,X360,2009.0,Sports,0.65,80.0,6.9,E,1
007: Quantum of Solace,Wii,2008.0,Action,0.65,54.0,7.5,T,3
Farming Simulator 17,PC,2016.0,Simulation,0.65,64.0,8.0,E,1
Borderlands 2,PSV,2014.0,Shooter,0.64,64.0,7.6,M,1
Crash Bandicoot Purple: Ripto's Rampage,GBA,2004.0,Platform,0.64,67.0,6.6,E,0
Assassin's Creed IV: Black Flag,PC,2013.0,Action,0.64,84.0,7.7,M,3
Need For Speed: Undercover,Wii,2008.0,Racing,0.64,54.0,6.2,T,2
Spyro: A Hero's Tail,PS2,2004.0,Platform,0.64,60.0,8.0,E,0
Crash: Twinsanity,PS2,2004.0,Platform,0.64,64.0,8.0,E,0
The LEGO Movie Videogame,WiiU,2014.0,Action,0.64,68.0,7.7,E10+,3
Max Payne 2: The Fall of Max Payne,XB,2003.0,Shooter,0.64,84.0,8.4,M,1
Drawn to Life: The Next Chapter,DS,2009.0,Puzzle,0.64,72.0,7.7,E,0
GoldenEye: Rogue Agent,PS2,2004.0,Shooter,0.64,60.0,7.0,T,0
WWE 2K15,X360,2014.0,Sports,0.64,50.0,4.0,T,2
Star Ocean: First Departure,PSP,2007.0,Role-Playing,0.64,74.0,7.4,T,1
James Bond 007: Everything or Nothing,XB,2004.0,Shooter,0.64,83.0,7.4,T,1
X2: Wolverine's Revenge,PS2,2003.0,Platform,0.64,58.0,7.2,T,3
NBA Live 06,XB,2005.0,Sports,0.64,79.0,6.4,E,1
Rayman 3D,3DS,2011.0,Platform,0.64,61.0,6.6,E,0
Football Manager 2014,PC,2013.0,Sports,0.64,85.0,5.5,E,1
TimeSplitters 2,XB,2002.0,Shooter,0.64,88.0,7.7,T,1
Onimusha: Dawn of Dreams,PS2,2006.0,Action,0.64,81.0,8.9,M,3
Sengoku Basara: Samurai Heroes,PS3,2010.0,Action,0.64,61.0,7.9,T,3
Stuntman: Ignition,X360,2007.0,Racing,0.64,75.0,7.3,T,1
Real Heroes: Firefighter,Wii,2009.0,Action,0.64,67.0,8.2,E10+,3
Dishonored 2,PS4,2016.0,Action,0.64,88.0,7.7,M,3
The Crew,XOne,2014.0,Racing,0.64,64.0,5.9,T,1
Dragon Ball: Raging Blast 2,X360,2010.0,Fighting,0.64,57.0,7.4,T,3
NHL 13,PS3,2012.0,Sports,0.64,84.0,6.8,E10+,1
Dead or Alive 5,PS3,2012.0,Fighting,0.64,74.0,7.7,M,3
Evolve,XOne,2015.0,Shooter,0.64,74.0,5.1,M,1
Lemony Snicket's A Series of Unfortunate Events,PS2,2004.0,Platform,0.64,63.0,5.7,E,2
Lost Planet: Extreme Condition,PS3,2008.0,Shooter,0.64,67.0,7.0,T,1
X-Men Legends II: Rise of Apocalypse,PS2,2005.0,Role-Playing,0.63,82.0,7.3,T,0
LEGO Star Wars II: The Original Trilogy,X360,2006.0,Action,0.63,81.0,8.0,E10+,3
Rock Band 3,Wii,2010.0,Misc,0.63,91.0,6.9,T,3
Dragon Age II,PC,2011.0,Action,0.63,82.0,4.5,M,3
Tony Hawk's Pro Skater 2x,XB,2001.0,Sports,0.63,78.0,8.8,T,1
NBA Live 08,PS3,2007.0,Sports,0.63,73.0,6.8,E,1
FIFA Soccer 2003,XB,2002.0,Sports,0.63,88.0,7.7,E,1
The Lord of the Rings: Conquest,X360,2009.0,Action,0.63,55.0,7.0,T,3
Far Cry 4,PC,2014.0,Shooter,0.63,80.0,6.7,M,1
NASCAR 06: Total Team Control,PS2,2005.0,Racing,0.63,78.0,7.7,E,0
Iron Man,PSP,2008.0,Action,0.63,44.0,6.5,T,2
White Knight Chronicles II,PS3,2010.0,Role-Playing,0.63,60.0,7.1,T,3
Juiced 2: Hot Import Nights,X360,2007.0,Racing,0.63,68.0,7.6,T,3
Wolfenstein,PS3,2009.0,Shooter,0.63,71.0,7.4,M,1
The Walking Dead: Survival Instinct,X360,2013.0,Shooter,0.63,32.0,4.0,M,2
The Sims 3: Generations,PC,2011.0,Simulation,0.63,70.0,3.6,T,2
Ape Escape 2,PS2,2002.0,Platform,0.63,82.0,8.4,E,0
Sega Rally Revo,PS3,2007.0,Racing,0.63,75.0,7.0,E,1
Shin Megami Tensei: Persona 3 FES,PS2,2007.0,Role-Playing,0.63,89.0,8.3,M,0
FIFA Soccer 2002,PS2,2001.0,Sports,0.63,82.0,5.8,E,0
Angry Birds Trilogy,3DS,2012.0,Action,0.63,62.0,4.6,E,2
Condemned 2: Bloodshot,X360,2008.0,Action,0.63,80.0,8.4,M,3
Okami,PS2,2006.0,Action,0.63,93.0,9.3,T,3
Shin Megami Tensei: Persona 3 Portable,PSP,2009.0,Role-Playing,0.63,89.0,8.3,M,1
NHL 2001,PS,2000.0,Sports,0.63,88.0,7.7,E,0
Crysis 3,PC,2013.0,Shooter,0.63,76.0,6.5,M,1
Buzz Lightyear of Star Command,PS,2000.0,Platform,0.63,54.0,5.3,E,2
NHL 16,PS4,2015.0,Sports,0.63,78.0,5.5,E10+,1
Tony Hawk's Project 8,PS3,2006.0,Sports,0.63,76.0,7.2,T,0
Ghostbusters: The Video Game,X360,2009.0,Action,0.63,79.0,8.5,T,3
XCOM: Enemy Unknown,X360,2012.0,Strategy,0.62,90.0,8.3,M,1
Tony Hawk's American Wasteland,XB,2005.0,Sports,0.62,77.0,7.7,T,1
Wild ARMs 3,PS2,2002.0,Role-Playing,0.62,78.0,8.4,T,0
Madden NFL 07,GC,2006.0,Sports,0.62,82.0,9.2,E,0
Tiger Woods PGA Tour 2004,XB,2003.0,Sports,0.62,89.0,8.2,E,1
Tak 2: The Staff of Dreams,PS2,2004.0,Platform,0.62,71.0,8.0,E,0
Just Dance 3,PS3,2011.0,Misc,0.62,75.0,6.0,E10+,3
LEGO Pirates of the Caribbean: The Video Game,3DS,2011.0,Action,0.62,71.0,7.3,E10+,3
Donkey Kong Barrel Blast,Wii,2007.0,Racing,0.62,46.0,6.8,E,2
Viewtiful Joe,GC,2003.0,Action,0.62,93.0,8.3,T,3
The Urbz: Sims in the City,GBA,2004.0,Simulation,0.62,72.0,9.2,E,0
Guitar Hero: Metallica,PS3,2009.0,Misc,0.62,86.0,8.0,T,3
Strike Force Bowling,PS2,2004.0,Sports,0.62,48.0,6.8,E,2
Red Steel 2,Wii,2010.0,Shooter,0.62,80.0,8.6,T,1
XGRA: Extreme G-Racing Association,PS2,2004.0,Racing,0.62,68.0,8.6,T,0
Mafia III,XOne,2016.0,Action,0.62,67.0,4.6,M,2
Prince of Persia: The Forgotten Sands,X360,2010.0,Action,0.62,74.0,7.8,T,3
Warriors Orochi 3,PS3,2011.0,Action,0.62,70.0,7.9,T,3
DJ Hero 2,Wii,2010.0,Misc,0.62,88.0,7.5,T,3
Tiger Woods PGA Tour 12: The Masters,X360,2011.0,Sports,0.62,80.0,6.1,E,1
Wall-E,X360,2008.0,Platform,0.62,50.0,6.3,E,2
Harry Potter and the Half-Blood Prince,DS,2009.0,Action,0.61,48.0,4.3,E,2
NieR,PS3,2010.0,Role-Playing,0.61,68.0,8.4,M,1
2014 FIFA World Cup Brazil,PS3,2014.0,Sports,0.61,73.0,4.3,E,1
NBA 2K9,PS3,2008.0,Sports,0.61,82.0,7.0,E,1
NFL Fever 2003,XB,2002.0,Sports,0.61,72.0,8.6,E,1
